Id,shopname,shopsite,abstract,shoptype,score_all,qualification,foundtime,addr,tel,contactinfo,opentime
316,波涛装饰(浦东设计中心),http://www.shbotao.net,“上海家装十强”，建筑装修装饰工程国家一级资质。集团先后荣获“中国装饰知名品牌”、全国装饰装修“百强企业”、上海市装饰装修行业“五星级企业”等一系列光辉荣誉。,装修,A,建筑装修装饰工程国家一级资质、装饰工程设计乙级资质,2002,沪南公路2178号红星美凯龙B1楼魔法空间设计广场G8071室,021-51575218,电话:021-51575218,9：30-17：30 为了更好的安排 请提前电话预约 021-51575218（24h） 谢谢配合！
15,波涛装饰(徐汇设计中心),http://www.shbotao.net,“上海家装十强”，建筑装修装饰工程国家一级资质。集团先后荣获“中国装饰知名品牌”、全国装饰装修“百强企业”、上海市装饰装修行业“五星级企业”等一系列光辉荣誉。,装修,A,建筑装修装饰工程国家一级资质、装饰工程设计乙级资质,2002,中山西路2331号波涛建材市场2楼(近华亭宾馆),021-51575218,电话:021-51575218,9：30-17：30 为了更好的安排 请提前电话预约 021-51575218（24h） 谢谢配合！
398,春亭装饰(浦东店),http://www.shctzh.com/,上海十强企业之一，专注于别墅装修设计,装修,A,设计施工二级资质,2001,东方路1870号(近龙阳路),4008203292,,9:00-18:00
37,春亭装饰(徐汇店),http://www.shctzh.com/,上海十强企业之一，专注于别墅装修设计,装修,A,设计施工二级资质,2001,零陵路899号29楼E室(近上海体育馆),021-64878586,,41535
625,帝涵装潢,http://www.shdihan.com/,上海十大家装品牌企业，2012年中国家居装饰500强品牌企业。截止2012年年底，公司在上海设有普陀管理总部和闵行、闸北、徐汇三大设计中心。,装修,A,设计与施工一级,2001,中山北路2052号振源大厦内(光新路中山北路),,,
217,红蚂蚁装潢(长宁店),http://www.sh-hongmayi.com/,,装修,A,设计与施工一级,,天山西路78号(近北新泾地铁站),,,
854,红蚂蚁装潢(黄兴路店),http://www.sh-hongmayi.com/,,装修,A,设计与施工一级,,黄兴路1661号(大润发对面),021-55069106 ,,
373,红蚂蚁装潢(永泰路店),http://www.sh-hongmayi.com/,,装修,A,设计与施工一级,,永泰路1398号(近环林东路),021-50656549,,
393,鸿磊建筑装潢设计,http://shhlzs.cn/,公司凭借“品牌源自质量，口碑来自诚信”的企业理念，鸿磊装潢为消费者提供最完善最周到的全程服务，以“注重细节，追求完美”的质量方针谋求发展。鸿磊装潢以极富创意的灵性设计和风格多元化的家装服务，在本市的不同小区留下了许多绿色健康自然的精品之作。,装修,A,专业级,,长清路989号(近6号线灵岩南路口),021-33929736&nbsp;13564532248,,8:00---22:00  节假日照常服务
201,惠居装饰设计中心,http://www.huijuzh.com/,"是较早一批上海市装饰装修行业协会会员单位,上海装潢网络监督品牌单位，通过了ISO9001:2000国际质量体系认证，荣获了上海市顾客满意单位，取得了上海市装饰施工专业级资质证书，成为全国住宅装饰装修行业知名品牌企业，同时经过对装饰材料的严格把关，坚决使用环保型材料，成为上海市绿色家居.环保施工推荐单位。",装修,A,专业级,2001,凯旋路3500号华苑大厦1号楼8E,,,
